Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,46,490",30,38.37,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Apply","1,39,813",29,36.62,0.01,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator.SafeControlled",879,29,0.23,0.01,
"Microsoft.Quantum.Primitive.R1Frac.get_RFrac",149,27,0.04,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.Int64,System.Double].Apply",60,26,0.02,0.01,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledAdjointBody>b__13_0","13,772",25,3.61,0.01,
"Microsoft.Quantum.Extensions.Convert.Native+ToDouble.get_Body",34,25,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","91,784",25,24.04,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","47,829",25,12.53,0.01,
"System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]..ctor",34,25,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.Double].Microsoft.Quantum.Simulation.Core.ICallable.Apply",182,24,0.05,0.01,
"System.Linq.Enumerable.ToArray",67,24,0.02,0.01,
"Microsoft.Quantum.Extensions.Math.Native+PI.get_Body",33,23,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType","1,040",23,0.27,0.01,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsAdjointable",81,23,0.02,0.01,
"System.Linq.Enumerable+SelectListIterator`2[System.__Canon,System.UInt32].ToArray",117,23,0.03,0.01,
"Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsConvertToDouble",242,22,0.06,0.01,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.__Canon,System.__Canon].get_Body",22,22,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsUnitary",88,22,0.02,0.01,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",22,22,0.01,0.01,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]],System.__Canon].get_Body",21,21,0.01,0.01,
"Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveR1Frac",221,20,0.06,0.01,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_ControlledBody>b__11_0","14,070",20,3.69,0.01,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsCallable",106,20,0.03,0.01,
"dynamicClass.IL_STUB_PInvoke","13,736",19,3.60,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].get_Body",19,19,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",19,19,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].Apply",149,18,0.04,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",18,18,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Controlled",18,18,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.get_ControlledBody",61,18,0.02,0.00,
"Microsoft.Quantum.Simulation.Common.QubitManager.get_DisableBorrowing",17,17,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimH.get_Body",25,17,0.01,0.00,
"Microsoft.Quantum.Canon.ModularIncrementPhaseLE.<get_ControlledAdjointBody>b__31_0","64,732",16,16.96,0.00,
"Microsoft.Quantum.Canon.SwapReverseRegister.<get_Body>b__7_0","11,167",16,2.93,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType","1,489",16,0.39,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<Create>b__0","4,216",16,1.10,0.00,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon].get_Item",16,16,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply","1,00,586",15,26.35,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply",937,15,0.25,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.__Canon].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",15,15,0.00,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_MicrosoftQuantumPrimitiveR1Frac",124,14,0.03,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",429,14,0.11,0.00,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper+<>c.<MakeGetQubitsFunctionsDictionary>b__0_3",14,14,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply",14,14,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","75,831",14,19.86,0.00,
"Microsoft.Quantum.Canon.AssertBoolEqual.<get_Body>b__5_0","1,891",13,0.50,0.00,
"Microsoft.Quantum.Canon.ModularIncrementPhaseLE.<get_ControlledBody>b__29_0","64,641",13,16.93,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation","2,676",13,0.70,0.00,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper+<>c.<MakeGetQubitsFunctionsDictionary>b__0_4",13,13,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsQubit",28,13,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation","1,819",12,0.48,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper.GetTupleValues",983,12,0.26,0.00,
"Microsoft.Quantum.Primitive.RFrac.get_R",87,11,0.02,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].GetQubits",11,11,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.TypeExtensions.IsControllable",92,11,0.02,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimH+<>c.<get_Body>b__7_0","7,615",11,1.99,0.00,
"System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]..ctor",18,11,0.00,0.00,
"Microsoft.Quantum.Canon.ApproximateQFT.get_MicrosoftQuantumPrimitiveH",154,10,0.04,0.00,
"Microsoft.Quantum.Primitive.SWAP.get_CNOT",37,10,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].get_ControlledBody",10,10,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.__Canon,System.__Canon].get_Body",10,10,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.__Canon,System.ValueTuple`3[System.Int64,System.Int64,System.__Canon]]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",10,10,0.00,0.00,
"Microsoft.Quantum.Canon.Reverse`1[System.__Canon].<get_Body>b__5_0",229,9,0.06,0.00,
"Microsoft.Quantum.Canon.Snd`2[System.Int64,System.Int64].<get_Body>b__5_0",698,9,0.18,0.00,
"Microsoft.Quantum.Primitive.RFrac.get_ControlledBody",61,9,0.02,0.00,
"Microsoft.Quantum.Primitive.SWAP.<get_Body>b__7_0","10,932",9,2.86,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].get_ControlledBody",9,9,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].get_Body",9,9,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<Combine>d__7.MoveNext",167,9,0.04,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_AdjointBody>b__11_0","42,945",8,11.25,0.00,
"Microsoft.Quantum.Canon.AsQubitArray.<get_Body>b__5_0",218,8,0.06,0.00,
"Microsoft.Quantum.Extensions.Math.Native+PI+<>c.<get_Body>b__2_0",8,8,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.__Canon,System.__Canon,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable.Apply","87,421",8,22.90,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].<get_AdjointBody>b__14_0","46,105",8,12.08,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper.BuildTuple",412,8,0.11,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.get_Reverse",25,7,0.01,0.00,
"Microsoft.Quantum.Canon.ApproximateQFT.get_AssertBoolEqual",70,7,0.02,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_AdjointBody>b__13_0","4,215",7,1.10,0.00,
"Microsoft.Quantum.Canon.Reverse`1[System.__Canon].get_Body",11,7,0.00,0.00,
"Microsoft.Quantum.Canon.WithA`1[System.__Canon].<get_AdjointBody>b__7_0","43,843",7,11.48,0.00,
"Microsoft.Quantum.Primitive.R1Frac.get_ControlledBody",19,7,0.00,0.00,
"Microsoft.Quantum.Primitive.RFrac.<get_Body>b__11_0","2,482",7,0.65,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].get_Body",7,7,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",754,7,0.20,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].Apply","87,610",7,22.95,0.00,
"Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.System.Collections.Generic.IEnumerator<System.Int64>.get_Current",7,7,0.00,0.00,
"[hostpolicy.dll]",133,6,0.03,0.00,
"Microsoft.Quantum.Canon.AssertBoolEqual.get_Body",21,6,0.01,0.00,
"Microsoft.Quantum.Canon.ExtendedGCD.<get_Body>b__11_0","6,003",6,1.57,0.00,
"Microsoft.Quantum.Canon.ModularAddProductPhaseLE.<get_ControlledAdjointBody>b__25_0","65,358",6,17.12,0.00,
"Microsoft.Quantum.Canon.SwapReverseRegister.get_MicrosoftQuantumPrimitiveSWAP",53,6,0.01,0.00,
"Microsoft.Quantum.Extensions.Convert.Native+ToDouble+<>c.<get_Body>b__2_0",6,6,0.00,0.00,
"Microsoft.Quantum.Primitive.RFrac.<get_AdjointBody>b__13_0","2,201",6,0.58,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.__Canon,System.__Canon].get_AdjointBody",6,6,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Apply","5,863",6,1.54,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon].<.ctor>b__2_0",14,6,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].FindPartialType",503,6,0.13,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]],System.__Canon].Apply","1,49,459",6,39.15,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.Int64,System.Int64],System.Int64].Microsoft.Quantum.Simulation.Core.ICallable.Apply","2,684",6,0.70,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c.<GetTupleValues>b__5_0",6,6,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.QArray`1[System.__Canon]..ctor",10,6,0.00,0.00,
"dynamicClass.IL_STUB_PInvoke","1,142",5,0.30,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.get_Body",8,5,0.00,0.00,
"Microsoft.Quantum.Canon.QFT.<get_Body>b__7_0","40,837",5,10.70,0.00,
"Microsoft.Quantum.Canon.QFTLE.<get_Body>b__9_0","42,556",5,11.15,0.00,
"Microsoft.Quantum.Canon.QFTLE.get_ApplyReversedOpBigEndianCA",58,5,0.02,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].get_Body",5,5,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Microsoft.Quantum.Simulation.Core.ICallable.Apply",5,5,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.__Canon,System.__Canon]..ctor",23,5,0.01,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Boolean,System.Boolean,System.__Canon],System.__Canon].Apply","1,919",5,0.50,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[Microsoft.Quantum.Simulation.Core.Pauli,System.Int64,System.Int64,System.__Canon],System.__Canon].Apply","4,702",5,1.23,0.00,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c.<CastTuple>b__1_0",5,5,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Range..ctor",5,5,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Range.GetEnumerator",25,5,0.01,0.00,
"Microsoft.Quantum.Simulation.Simulators.Extensions+<>c.<GetIds>b__0_0",5,5,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX.<get_ControlledBody>b__9_0","14,001",5,3.67,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX+<>c.<get_Body>b__7_0","1,729",5,0.45,0.00,
"Microsoft.Quantum.Canon.ApplyLEOperationOnPhaseLEA.get_WithA",19,4,0.00,0.00,
"Microsoft.Quantum.Canon.ApproximateQFT.get_SwapReverseRegister",41,4,0.01,0.00,
"Microsoft.Quantum.Canon.AsQubitArray.get_Body",7,4,0.00,0.00,
"Microsoft.Quantum.Canon.ExtendedGCD.get_Fst",19,4,0.00,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_AdjointBody>b__9_0","2,529",4,0.66,0.00,
"Microsoft.Quantum.Canon.QFT.<get_AdjointBody>b__9_0","41,530",4,10.88,0.00,
"Microsoft.Quantum.Canon.Tail`1[System.__Canon].get_Body",6,4,0.00,0.00,
"Microsoft.Quantum.Primitive.R1Frac.<get_Body>b__7_0","2,755",4,0.72,0.00,
"Microsoft.Quantum.Simulation.Core.AbstractOperation.GetQubits",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.__Canon,System.__Canon].GetQubits",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]],System.__Canon].get_Body",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.ValueTuple`2[System.Int64,System.__Canon]],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","27,878",4,7.30,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].Apply","3,374",4,0.88,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[Microsoft.Quantum.Simulation.Core.Pauli,System.Double,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","3,379",4,0.89,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].FindPartialType",162,4,0.04,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2+<>c[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].<FindPartialType>b__21_0",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].<get_Body>b__12_0","45,777",4,11.99,0.00,
"Microsoft.Quantum.Simulation.Core.PartialApplication`3[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].get_AdjointBody",7,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]]..ctor",7,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Range+<GetEnumerator>d__12.System.IDisposable.Dispose",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.TypeExtensions+<>c.<Normalize>b__10_0",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.__Canon].Microsoft.Quantum.Simulation.Core.IAdjointable.get_Adjoint",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Unitary`1[System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IUnitary<I>.get_Adjoint",4,4,0.00,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR+<>c.<get_Body>b__7_0","3,354",4,0.88,0.00,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimX+<>c__DisplayClass9_0.<get_ControlledBody>b__2",4,4,0.00,0.00,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_Body>b__9_0","42,406",3,11.11,0.00,
"Microsoft.Quantum.Canon.BitSize.<get_Body>b__7_0",104,3,0.03,0.00,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_Body>b__11_0","4,238",3,1.11,0.00,
"Microsoft.Quantum.Canon.ExpMod.<get_Body>b__11_0","1,082",3,0.28,0.00,
"Microsoft.Quantum.Canon.ExtendedGCD.get_Snd",36,3,0.01,0.00,
"Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.<get_Body>b__7_0","2,832",3,0.74,0.00,
"Microsoft.Quantum.Canon.QFTLE.<get_AdjointBody>b__11_0","43,034",3,11.27,0.00,
"Microsoft.Quantum.Canon.Tail`1[System.__Canon].<get_Body>b__7_0",432,3,0.11,0.00,
"Microsoft.Quantum.Canon.Tail`1[System.__Canon].get_AssertBoolEqual",19,3,0.00,0.00,
"Microsoft.Quantum.Canon.WithA`1[System.__Canon].<get_Body>b__5_0","43,556",3,11.41,0.00,
"Microsoft.Quantum.Primitive.CNOT.<get_ControlledBody>b__11_0",724,3,0.19,0.00,
"Microsoft.Quantum.Primitive.CNOT.get_Body",39,3,0.01,0.00,
"Microsoft.Quantum.Primitive.CNOT.get_X",36,3,0.01,0.00,
"Microsoft.Quantum.Primitive.R1Frac.get_ControlledAdjointBody",19,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.AdjointedOperation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].get_ControlledBody",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.ControlledOperation`2[System.ValueTuple`2[System.Int64,System.__Canon],System.__Canon].get_AdjointBody",3,3,0.00,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`2[System.__Canon,System.__Canon],System.__Canon].Partial",619,3,0.16,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Boolean,System.Boolean,System.__Canon],System.__Canon].Microsoft.Quantum.Simulation.Core.ICallable<I,O>.Apply","1,926",3,0.50,0.00,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`3[System.Int64,System.Int64,System.__Canon],System.__Canon].Apply","5,224",3,1.37,0.00,
