Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",85,0.02,0x7FFB6FF0C57D,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.Resolve",85,0.02,0x7FFB6FF1296A,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialCapturedQubits`2+<>c__DisplayClass1_0[System.__Canon,System.ValueTuple`2[System.__Canon,System.__Canon]].<.ctor>b__0",85,0.02,0x7FFB6FF2E359,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Extensions.GetQubits",81,0.02,0x7FFB6FF0C534,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",79,0.02,0x7FFB6FF12748,0,0,0,0,
"System.Linq.Enumerable.Select",78,0.02,0x7FFB6FF271D5,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",77,0.02,0x7FFBF712A250,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_R",76,0.02,0x7FFB6FF25305,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GetQubitsHelper.GetQubitsFromTuple",76,0.02,0x7FFB6FF0DA6F,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Qubit.GetQubits",76,0.02,0x7FFB6FF1BF42,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsMathPI",75,0.02,0x7FFB6FF25265,0,0,0,0,
"[Unknown]",74,0.02,0x7FFB6FE66128,0,0,0,0,
"[Unknown]",74,0.02,0x7FFB6FE66138,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",73,0.02,0x7FFB6FF22F6D,0,0,0,0,
"[Unknown]",72,0.02,0x7FFB6FE401C0,0,0,0,0,
"[Microsoft.Quantum.Simulator.Runtime.dll]",71,0.02,0x7FFBF711ADEB,0,0,0,0,
