Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Microsoft.Quantum.Simulation.Core.Adjointable`1[System.ValueTuple`2[System.__Canon,System.__Canon]].Microsoft.Quantum.Simulation.Core.IAdjointable.Partial",374,0.10,"1,026",0.27,0,0,0,0,
"[clrjit.dll]",372,0.10,412,0.11,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledAdjointBody>b__17_0",339,0.09,"38,144",9.99,0,0,0,0,
"Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationEnd",329,0.09,329,0.09,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.FindClosedType",322,0.08,429,0.11,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.<get_ControlledBody>b__15_0",309,0.08,"37,463",9.81,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericOperation.CreateOperation",303,0.08,754,0.20,0,0,0,0,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_Body>b__9_0",289,0.08,"42,406",11.11,0,0,0,0,
"Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsConvertToDouble",242,0.06,242,0.06,0,0,0,0,
"Microsoft.Quantum.Simulation.Simulators.QuantumSimulator+QSimR.<get_ControlledBody>b__11_0",218,0.06,"47,546",12.45,0,0,0,0,
"Microsoft.Quantum.Canon.ApplyReversedOpBigEndianCA.<get_AdjointBody>b__11_0",212,0.06,"42,945",11.25,0,0,0,0,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_AdjointBody>b__13_0",181,0.05,"4,215",1.10,0,0,0,0,
"Microsoft.Quantum.Canon.CopyMostSignificantBitLE.<get_Body>b__11_0",162,0.04,"4,238",1.11,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_Body>b__13_0",161,0.04,"40,767",10.68,0,0,0,0,
"Microsoft.Quantum.Primitive.R1Frac.get_RFrac",149,0.04,149,0.04,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.PartialMapper+<>c__DisplayClass8_0`2[System.__Canon,System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon]].<Create>b__0",149,0.04,379,0.10,0,0,0,0,
"Microsoft.Quantum.Canon.ApproximateQFT.<get_AdjointBody>b__15_0",146,0.04,"41,442",10.86,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.GenericAdjoint.CreateOperation",139,0.04,605,0.16,0,0,0,0,
"Microsoft.Quantum.Simulation.Core.Operation`2[System.ValueTuple`4[System.Int64,System.Int64,System.__Canon,System.__Canon],System.__Canon].FindPartialType",133,0.03,162,0.04,0,0,0,0,
