Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_Body",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_ControlledAdjointBody",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_ControlledBody",4,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IntegerIncrementPhaseLE.get_MicrosoftQuantumPrimitiveR1Frac",23,20,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.InverseMod.<get_Body>b__11_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.InverseMod.get_Body",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.InverseMod.get_ExtendedGCD",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IsCoprime..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.IsCoprime.get_ExtendedGCD",3,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Lg.<get_Body>b__9_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.LogOf2.<get_Body>b__5_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.MeasureIntegerBE..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductLE..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductLE.<get_ControlledBody>b__17_0",3,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductLE.get_ApplyPhaseLEOperationOnLECA",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductLE.get_ControlledAdjointBody",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductPhaseLE.<get_ControlledAdjointBody>b__25_0",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductPhaseLE.<get_ControlledBody>b__23_0",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get__EnableExtraAssertsForArithmetic",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get_AssertBoolEqual",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get_ExpMod",6,6,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularAddProductPhaseLE.get_ModularIncrementPhaseLE",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.<get_ControlledAdjointBody>b__31_0",5,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.<get_ControlledBody>b__29_0",7,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get__EnableExtraAssertsForArithmetic",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_Allocate",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_ApplyLEOperationOnPhaseLEA",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_AssertBoolEqual",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_ControlledAdjointBody",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_ControlledBody",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_CopyMostSignificantBitLE",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_IntegerIncrementPhaseLE",4,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_MicrosoftQuantumPrimitiveX",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularIncrementPhaseLE.get_Release",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularMultiplyByConstantLE..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularMultiplyByConstantLE.<get_ControlledBody>b__23_0",4,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularMultiplyByConstantLE.get_IsCoprime",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularMultiplyByConstantLE.get_MicrosoftQuantumPrimitiveSWAP",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.ModularMultiplyByConstantLE.get_ModularAddProductLE",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.MResetZ..ctor",3,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFT.<get_Body>b__7_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFT.get_AdjointBody",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFT.get_ApproximateQFT",3,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFTLE.<get_AdjointBody>b__11_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFTLE.<get_Body>b__9_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFTLE.get_ApplyReversedOpBigEndianCA",11,9,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFTLE.get_Body",4,4,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QFTLE.get_QFT",3,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.QuantumPhaseEstimation..ctor",3,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RandomInt.<get_Body>b__13_0",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RandomIntPow2.<get_Body>b__7_0",3,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RealMod..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RealMod.<get_Body>b__13_0",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Reverse`1[System.__Canon].<get_Body>b__5_0",6,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Reverse`1[System.__Canon].get_Body",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RobustPhaseEstimation..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RobustPhaseEstimation.<get_Body>b__25_0",8,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.RobustPhaseEstimation.get_M",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Snd`2[System.Int64,System.Int64].<get_Body>b__5_0",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Snd`2[System.Int64,System.Int64].get_Body",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.SwapReverseRegister.<get_Body>b__7_0",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.SwapReverseRegister.get_Body",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.SwapReverseRegister.get_MicrosoftQuantumPrimitiveSWAP",10,8,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.Tail`1[System.__Canon].get_Body",2,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Canon.WithA`1[System.__Canon].get_AdjointBody",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Convert.Native+ToDouble..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Convert.Native+ToDouble.get_Body",9,9,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+AbsI..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+ArcTan2..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+Ceiling..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+Cos..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+MaxI.get_Body",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+PI.get_Body",10,9,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+Sin.get_Body",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Math.Native+Sin+<>c..cctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Testing.AssertAllZeroTol..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Extensions.Testing.AssertQubitTol..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.CNOT.<get_Body>b__7_0",11,5,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.CNOT.<get_ControlledBody>b__11_0",3,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.CNOT.get_Body",36,16,0.01,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.CNOT.get_X",33,26,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.R1Frac.<get_AdjointBody>b__9_0",1,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.R1Frac.<get_ControlledAdjointBody>b__13_0",12,8,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.R1Frac.<get_ControlledBody>b__11_0",21,12,0.01,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.R1Frac.get_ControlledAdjointBody",16,6,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.R1Frac.get_ControlledBody",12,6,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.R1Frac.get_RFrac",122,110,0.03,0.03,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.Reset.get_X",2,2,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.<get_AdjointBody>b__13_0",14,12,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.<get_Body>b__11_0",8,7,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.<get_ControlledAdjointBody>b__17_0",198,162,0.05,0.04,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.<get_ControlledBody>b__15_0",175,137,0.05,0.04,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_AdjointBody",3,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_Body",5,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_ControlledAdjointBody",37,22,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_ControlledBody",52,23,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsConvertToDouble",220,207,0.06,0.05,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_MicrosoftQuantumExtensionsMathPI",75,66,0.02,0.02,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.RFrac.get_R",76,64,0.02,0.02,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.Rz..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.Rz.get_R",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.SWAP.get_Body",7,3,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Primitive.SWAP.get_CNOT",27,23,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.EstimatePeriod..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.EstimatePeriod.<get_Body>b__43_0",9,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle..ctor",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.OrderFindingOracle.<get_ControlledBody>b__17_0",3,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.Program.Main",7,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.Shor..ctor",3,1,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.Shor.<get_Body>b__19_0",7,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Samples.IntegerFactorization.Shor.Run",2,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Simulation.Common.QubitManager.Allocate",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Simulation.Common.QubitManager.CreateQubitObject",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope..ctor",1,0,0.00,0.00,
"Caller","[coreclr.dll]","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationEnd",22,22,0.01,0.01,
"Caller","[coreclr.dll]","Microsoft.Quantum.Simulation.Common.QubitManagerTrackingScope.OnOperationStart",210,74,0.06,0.02,
